bbl,star
"4023650001","false"
"4023650006","true"
"4023650008","false"
"4023650009","false"
"4023650012","false"
"4023650013","true"
"4023650014","true"
"4023650016","false"
"4023650017","false"
"4023650071","false"
"4023650072","true"
"4023650073","false"
"4023650077","true"
"4023650080","true"
"4023650082","true"
"4023650084","false"
"4023650086","false"
"4023650088","false"
"4023650090","false"
"4023650092","false"
"4023650094","false"
"4023650095","false"
"4023650101","false"
"4023660005","false"
"4023660011","false"
"4023660012","true"
"4023660013","true"
"4023660014","false"
"4023660015","true"
"4023660016","true"
"4023660017","false"
"4023660020","true"
"4023660021","true"
"4023660022","false"
"4023660023","true"
"4023660024","false"
"4023660025","false"
"4023660027","true"
"4023660031","false"
"4023660033","true"
"4023660038","false"
"4023660039","true"
"4023660040","false"
"4023660044","true"
"4023660045","true"
"4023660046","false"
"4023660047","true"
"4023660048","false"
"4023660049","true"
"4023660051","false"
"4023660053","false"
"4023660054","false"
"4023660055","true"
"4023660056","false"
"4023660057","false"
"4023660058","true"
"4023660059","true"
"4023660084","false"
"4023660085","true"
"4023660086","false"
"4023660087","false"
"4023660088","true"
"4023660090","true"
"4023660093","true"
"4023660095","true"
"4023670018","true"
"4023670019","false"
"4023670020","false"
"4023670022","false"
"4023670023","true"
"4023670024","true"
"4023670026","true"
"4023670027","true"
"4023670028","false"
"4023670030","false"
"4023670031","true"
"4023670033","true"
"4023670034","false"
"4023670036","true"
"4023670037","true"
"4023670039","false"
"4023670040","false"
"4023670041","true"
"4023670043","true"
"4023670044","false"
"4023670045","true"
"4023670047","true"
"4023670057","true"
"4023670058","true"
"4023670059","false"
"4023670060","true"
"4023670061","false"
"4023670062","true"
"4023670063","false"
"4023670064","true"
"4023670065","false"
"4023670066","false"
"4023670067","true"
"4023670068","false"
"4023670069","false"
"4023670070","false"
"4023670071","false"
"4023670072","false"
"4023670073","true"
"4023670074","false"
"4023670075","true"
"4023670076","false"
"4023670077","false"
"4023670078","false"
"4023670079","false"
"4023670080","false"
"4023670081","false"
"4023670082","false"
"4023670083","true"
"4023670084","false"
"4023670085","false"
"4023670086","false"
"4023670087","true"
"4023670088","false"
"4023670101","false"
"4023670102","true"
"4023670103","true"
"4023670104","true"
"4023670105","false"
"4023670106","true"
"4023680001","false"
"4023680003","false"
"4023680004","true"
"4023680005","true"
"4023680006","false"
"4023680008","true"
"4023680010","false"
"4023680011","true"
"4023680012","true"
"4023680014","false"
"4023680015","false"
"4023680016","false"
"4023680017","false"
"4023680018","true"
"4023680019","true"
"4023680020","false"
"4023680024","false"
"4023680026","true"
"4023680027","false"
"4023680028","false"
"4023680029","true"
"4023680030","false"
"4023680031","false"
"4023680032","true"
"4023680033","false"
"4023680034","true"
"4023680035","true"
"4023680037","false"
"4023680038","false"
"4023680039","false"
"4023680040","true"
"4023680041","true"
"4023680042","true"
"4023680043","true"
"4023680044","true"
"4023680045","true"
"4023680047","true"
"4023680048","false"
"4023680049","false"
"4023680050","true"
"4023680051","false"
"4023680052","true"
"4023680053","true"
"4023680054","true"
"4023680055","true"
"4023680056","true"
"4023680057","false"
"4023680058","true"
"4023680074","false"
"4023680075","false"
"4023680076","false"
"4023680077","false"
"4023680078","false"
"4023680079","true"
"4023680081","true"
"4023680082","true"
"4023680083","true"
"4023680084","true"
"4023680085","false"
"4023680086","true"
"4023680087","true"
"4023680088","true"
"4023680089","false"
"4023680090","true"
"4023680091","false"
"4023690001","false"
"4023690005","false"
"4023690007","false"
"4023690008","true"
"4023690010","true"
"4023690012","true"
"4023690014","true"
"4023690015","true"
"4023690019","true"
"4023690021","false"
"4023690023","false"
"4023690024","false"
"4023690026","true"
"4023690027","true"
"4023690029","true"
"4023690030","true"
"4023690031","false"
"4023690032","true"
"4023690034","true"
"4023690035","true"
"4023690036","true"
"4023690037","true"
"4023690038","true"
"4023690040","false"
"4023690041","true"
"4023690042","true"
"4023690043","false"
"4023690045","false"
"4023690046","true"
"4023690047","true"
"4023690049","true"
"4023690051","true"
"4023690053","false"
"4023690055","false"
"4023690057","false"
"4023690067","false"
"4023690070","false"
"4023690104","false"
"4023690110","true"
"4023690112","true"
"4023690113","false"
"4023700001","false"
"4023700002","true"
"4023700003","true"
"4023700005","false"
"4023700006","true"
"4023700007","true"
"4023700009","true"
"4023700010","true"
"4023700011","false"
"4023700012","false"
"4023700014","false"
"4023700015","false"
"4023700016","true"
"4023700018","false"
"4023700019","false"
"4023700020","false"
"4023700021","false"
"4023700023","true"
"4023700024","true"
"4023700025","false"
"4023700026","true"
"4023700028","true"
"4023700029","false"
"4023700030","false"
"4023700031","true"
"4023700032","false"
"4023700034","true"
"4023700035","true"
"4023700036","true"
"4023700037","false"
"4023700038","false"
"4023700039","true"
"4023700041","true"
"4023700042","false"
"4023700043","false"
"4023700044","false"
"4023700045","false"
"4023700046","false"
"4023700047","false"
"4023700048","true"
"4023700049","false"
"4023700050","true"
"4023700051","false"
"4023700052","false"
"4023700053","false"
"4023700054","false"
"4023700055","true"
"4023700056","true"
"4023700057","true"
"4023700058","false"
"4023710101","false"
"4023710102","false"
"4023710103","false"
"4023710104","false"
"4023710152","false"
"4023710153","true"
"4023710154","true"
"4023710155","false"
"4023710156","false"
"4023710157","true"
"4023710158","true"
"4023710159","false"
"4023710160","true"
"4023710161","false"
"4023710162","false"
"4023710163","true"
"4023710164","true"
"4023710165","true"
"4023710166","false"
"4023710167","true"
"4023710168","true"
"4023710169","true"
"4023710170","true"
"4023710171","true"
"4023710172","true"
"4023710174","false"
"4023710175","false"
"4023710176","true"
"4023710177","true"
"4023710178","false"
"4023710179","true"
"4023710180","true"
"4023710181","false"
"4023710182","false"
"4023710183","false"
"4023710184","false"
"4023710185","false"
"4023710186","true"
"4023720101","true"
"4023720102","false"
"4023720104","false"
"4023720105","false"
"4023720106","true"
"4023720107","false"
"4023720108","true"
"4023720109","false"
"4023720110","true"
"4023720111","true"
"4023720112","true"
"4023720113","false"
"4023720114","false"
"4023720115","false"
"4023720116","true"
"4023720117","true"
"4023720118","true"
"4023720119","true"
"4023720120","false"
"4023720121","false"
"4023720122","false"
"4023720123","true"
"4023720131","true"
"4023720133","true"
"4023720134","false"
"4023720135","true"
"4023720136","false"
"4023720137","true"
"4023720138","false"
"4023720139","true"
"4023720140","true"
"4023720141","true"
"4023720142","true"
"4023720143","false"
"4023720144","true"
"4023720145","true"
"4023720146","true"
"4023720147","true"
"4023720148","false"
"4023720149","false"
"4023720150","false"
"4023720151","true"
"4023720153","true"
"4023720155","true"
"4023720157","false"
"4023720158","false"
"4023720160","true"
"4023720161","true"
"4023720162","true"
"4023720163","true"
"4023720164","false"
"4023720165","false"
"4023720166","true"
"4023720167","false"
"4023720169","false"
"4023720170","false"
"4023720171","true"
"4023720172","true"
"4023720173","true"
"4023720175","true"
"4023720176","false"
"4023720177","false"
"4023720178","true"
"4023720180","false"
"4023720181","false"
"4023720182","true"
"4023720183","false"
"4023720185","true"
"4023730201","false"
"4023730212","true"
"4023730213","true"
"4023730214","true"
"4023730215","true"
"4023730216","true"
"4023730217","true"
"4023730218","false"
"4023730220","true"
"4023730221","false"
"4023730223","true"
"4023730224","true"
"4023730226","false"
"4023730227","true"
"4023730229","true"
"4023730230","false"
"4023730235","false"
"4023730250","false"
"4023730254","true"
"4023730256","true"
"4023730257","true"
"4023730258","false"
"4023730259","false"
"4023730260","true"
"4023730261","false"
"4023730262","true"
"4023730263","true"
"4023730264","false"
"4023730265","false"
"4023730266","false"
"4023730267","true"
"4023730268","false"
"4023730269","false"
"4023730270","false"
"4023730271","false"
"4023730272","false"
"4023730273","true"
"4023730274","true"
"4023730275","true"
"4023730276","false"
"4023730277","true"
"4023730278","false"
"4023730279","false"
"4023730281","false"
"4023730282","true"
"4023730283","false"
"4023730284","false"
"4023730285","false"
"4023740114","false"
"4023740116","false"
"4023740117","false"
"4023740118","false"
"4023740119","true"
"4023740120","true"
"4023740121","true"
"4023740122","true"
"4023740123","false"
"4023740124","true"
"4023740125","true"
"4023740126","true"
"4023740127","true"
"4023740128","false"
"4023740129","false"
"4023740130","false"
"4023740131","true"
"4023740132","false"
"4023740134","true"
"4023740135","true"
"4023740136","false"
"4023740137","true"
"4023740138","true"
"4023740139","true"
"4023740140","true"
"4023740142","true"
"4023740144","false"
"4023740146","false"
"4023740150","true"
"4023740151","true"
"4023740152","true"
"4023740153","false"
"4023740154","true"
"4023740155","true"
"4023740156","false"
"4023740157","false"
"4023740158","true"
"4023740159","false"
"4023740165","false"
"4023740167","true"
"4023740168","false"
"4023740169","false"
"4023740170","false"
"4023740171","true"
"4023740172","false"
"4023740173","false"
"4023740174","true"
"4023740175","false"
"4023740176","false"
"4023740177","false"
"4023740178","false"
"4023740179","true"
"4023740180","false"
"4023740181","false"
"4023740182","false"
"4023740183","false"
"4023740184","false"
"4023740185","false"
"4023740186","false"
"4023740187","true"
"4023740188","false"
"4023740189","false"
"4023740190","false"
"4023740191","false"
"4023740192","false"
"4023740193","false"
"4023740194","true"
"4023740195","false"
"4023740197","false"
"4023740198","false"
"4023740199","false"
"4023750101","false"
"4023750102","false"
"4023750103","false"
"4023750104","false"
"4023750164","false"
"4023750165","false"
"4023750166","true"
"4023750168","true"
"4023750169","true"
"4023750170","true"
"4023750171","true"
"4023750172","true"
"4023750174","false"
"4023750175","true"
"4023750176","false"
"4023750177","false"
"4023750179","true"
