"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4037270001","80-12 57 STREET","11385",1,2,40.6931546,-73.8975043
"4036170033","64-57 WOODBINE STREET","11385",2,2,40.708917,-73.8935521
"4026900105","59-59 56 DRIVE","11378",4,2,40.7240463,-73.9064473
"4028200165","71-16 58 ROAD","11378",3,3,40.7253764,-73.8896799
"4033990034","1888 HART STREET","11385",2,2,40.7098786,-73.914399
"4035850028","75-49 60 LANE","11385",2,2,40.6971866,-73.8943678
"4035980021","74-27 64 PLACE","11385",2,2,40.6995522,-73.891039
"4025550026","48-23 54 AVENUE","11378",1,1,40.7308318,-73.9178034
"4035770021","1828 NORMAN STREET","11385",2,2,40.6988708,-73.8992338
"4034170097","1736 STARR STREET","11385",2,2,40.7089047,-73.9189342
"4034410001","1712 GROVE STREET","11385",3,3,40.7029563,-73.9107472
"4034790056","1925 WOODBINE STREET","11385",3,2,40.7051772,-73.9044468
"4035200004","63-19 60 PLACE","11385",2,2,40.7107502,-73.9025055
"4035230011","63-43 60 PLACE","11385",2,2,40.7102394,-73.9022429
"4035770042","1841 SUMMERFIELD STREET","11385",3,2,40.6990075,-73.8986422
"4025060089","53-76 72 PLACE","11378",2,0,40.7291082,-73.8914308
"4035420010","11-03 IRVING AVENUE","11385",4,2,40.6929098,-73.903177
"4035510086","1647 GEORGE STREET","11385",2,2,40.69714,-73.9038345
"4036320140","69-47 64 STREET","11385",2,2,40.7031114,-73.8930601
"4036560025","70-36 68 PLACE","11385",2,2,40.7041878,-73.8850515
"4036570039","70-33 68 PLACE","11385",2,2,40.7043163,-73.8845175
"4036580120","69-20 69 PLACE","11385",2,2,40.7056962,-73.8837721
"4030050027","64-44 80 STREET","11379",1,2,40.7182681,-73.8741869
"4030290122","64-06 72 STREET","11379",2,2,40.7157692,-73.8835237
"4029340007","61-02 77 PLACE","11379",1,2,40.7236476,-73.881789
"4029440001","61-25 84 STREET","11379",1,2,40.7266639,-73.8737669
"4033810001","489 FAIRVIEW AVENUE","11385",4,3,40.7087847,-73.9089106
"4029360078","61-33 78 STREET","11379",1,2,40.7235909,-73.8799744
"4023960016","66-33 CLINTON AVENUE","11378",2,2,40.7266025,-73.8977235
"4034160037","1741 STARR STREET","11385",1,2,40.7092262,-73.9193377
"4029380049","61-77 80 STREET","11379",1,2,40.7233742,-73.8775144
"4029380068","61-39 80 STREET","11379",1,2,40.7241736,-73.8781551
"4029400054","61-59 82 STREET","11379",1,2,40.7244679,-73.8761955
"4024010025","67-01 54 AVENUE","11378",2,3,40.7291194,-73.8976258
"4029650013","62-16 79 STREET","11379",1,2,40.7222279,-73.8784472
"4029670019","62-20 81 STREET","11379",2,2,40.7228985,-73.8767107
"4029940021","63-32 83 STREET","11379",2,2,40.7217933,-73.8725243
"4029940052","63-59 82 PLACE","11379",1,2.5,40.7210383,-73.872349
"4024850041","73-49 52 AVENUE","11378",2,2,40.7340626,-73.8886047
"4029990006","84-28 63 ROAD","11379",1,2,40.7230967,-73.8697763
"4030030028","64-42 78 STREET","11379",1,2,40.7175287,-73.8757214
"4030030048","64-07 77 PLACE","11379",2,2,40.7181583,-73.8767159
"4026740003","58-90 MASPETH AVENUE","11378",2,2,40.7229256,-73.9088047
"4026980069","59-31 58 DRIVE","11378",1,2,40.7199572,-73.9070952
"4027110028","61-17 MASPETH AVENUE","11378",2,2,40.7231796,-73.903833
"4027290038","59-36 60 LANE","11378",1,2,40.7180967,-73.9043562
"4027380070","60-67 59 AVENUE","11378",3,3,40.7193757,-73.9043002
"4027660164","64-11 62 AVENUE","11379",1,2,40.7147121,-73.8975686
"4027730075","62-60 MT OLIVET CRESCENT","11379",2,2,40.7133325,-73.8956481
"4028470075","60-15 77 STREET","11379",1,2,40.7246865,-73.8830607
"4028480043","60-42 78 STREET","11379",1,2,40.7242509,-73.881171
"4036820073","71-19 68 STREET","11385",2,2,40.7030514,-73.8849489
"4037160075","78-49 62 STREET","11385",1,2.5,40.6956334,-73.891781
"4037210075","77-15 64 LANE","11385",1,2,40.6979316,-73.8897542
"4037790026","68-08 79 STREET","11379",4,2,40.7108869,-73.8736958
"4029380046","61-74 81 STREET","11379",1,2,40.7234671,-73.8771679
"4030330037","64-27 73 PLACE","11379",1,1,40.7155527,-73.8812154
"4030050013","64-16 80 STREET","11379",1,2,40.7188587,-73.8746583
"4030040055","64-03 78 STREET","11379",1,2,40.7186104,-73.8759899
"4029410036","82-43 61 ROAD","11379",1,2,40.7258977,-73.8759547
"4035220036","61-17 MENAHAN STREET","11385",3,1,40.7112372,-73.9007048
"4035260044","60-48 LINDEN STREET","11385",2,2,40.7091753,-73.900037
"4030330026","64-42 74 STREET","11379",2,2,40.7153023,-73.8805521
"4035810040","60-29 78 AVENUE","11385",3,3,40.6965919,-73.8953497
"4038250001","78-03 75 STREET","11385",2,2,40.7043794,-73.8739931
"4028300033","59-67 69 STREET","11378",1,2.5,40.7216848,-73.8926406
"4028320059","59-41 69 LANE","11378",1,2,40.7232502,-73.8906755
"4029330036","61-62 77 STREET","11379",1,2,40.7220665,-73.8816151
"4029540055","62-43 69 PLACE","11379",2,2,40.7172521,-73.8869734
"4029550008","69-88 62 AVENUE","11379",2,2,40.7187146,-73.8865777
"4029550077","62-03 69 LANE","11379",3,2,40.718575,-73.8869423
"4036040020","64-33 65 LANE","11379",2,2,40.7114396,-73.8937248
"4036240006","65-07 68 AVENUE","11385",2,2,40.7064676,-73.8924487
"4038240085","78-03 74 STREET","11385",2,2,40.7043008,-73.874949
"4027520028","57-55 65 STREET","11378",2,2,40.721664,-73.9000616
"4024910049","73-31 GRAND AVENUE","11378",4,2,40.730127,-73.889019
"4026910146","59-07 MASPETH AVENUE","11378",2,2,40.7234,-73.9081944
"4026940001","57-69 59 STREET","11378",4,1,40.7211958,-73.9080495
"4028260115","58-22 79 STREET","11379",1,2,40.7262441,-73.881669
"4034780004","685 WOODWARD AVENUE","11385",2,2,40.7051728,-73.905702
"4034990005","66-31 FOREST AVENUE","11385",2,2,40.7068638,-73.9027348
"4035320028","67-18 FRESH POND ROAD","11385",2,3,40.705283,-73.8966561
"4035380053","60-81 MYRTLE AVENUE","11385",2,3,40.7009397,-73.8954222
"4027900120","66-60 69 STREET","11379",3,3,40.7130938,-73.8870526
"4030420041","65-55 79 PLACE","11379",2,2,40.7161011,-73.8729176
"4030490002","69-04 66 ROAD","11379",3,3,40.7138895,-73.8867662
"4030560054","72-14 66 ROAD","11379",1,1,40.7139806,-73.8817629
"4030590069","74-15 66 DRIVE","11379",2,2,40.713631,-73.878178
"4036380067","61-15 MYRTLE AVENUE","11385",2,3,40.7010203,-73.8934998
"4037720027","73-38 67 DRIVE","11379",2,2,40.7111656,-73.8775873
"4027400052","59-06 FRESH POND ROAD","11378",2,3,40.7191494,-73.9027277
"4027650052","63-07 62 AVENUE","11379",3,0,40.7144522,-73.8985537
"4034930052","62-76 60 PLACE","11385",2,2,40.711558,-73.9034674
"4038340075","78-63 83 STREET","11385",2,2,40.7037439,-73.8654501
"4034950039","63-46 60 PLACE","11385",2,2,40.7099928,-73.9026941
"4036910041","71-15 73 STREET","11385",2,2,40.7049812,-73.8772055
"4028170137","57-64 79 STREET","11379",2,2,40.7272247,-73.8824465
"4029710003","83-06 62 AVENUE","11379",1,2,40.7245425,-73.8740451
"4030500038","66-74 70 STREET","11379",4,2,40.7126557,-73.8853652
"4035480075","16-59 HANCOCK STREET","11385",3,3,40.6988761,-73.9055125
"4024820060","52-18 72 STREET","11378",2,2,40.733133,-73.892449
"4024950006","53-23 69 STREET","11378",2,2,40.7307286,-73.8953899
"4038140070","77-19 76 STREET","11385",2,2,40.7062867,-73.8737803
"4038230050","78-04 74 STREET","11385",2,2,40.7041724,-73.8754722
"4027980113","70-28 57 ROAD","11378",2,2,40.727006,-73.8916579
"4028290016","59-36 69 PLACE","11378",2,2,40.7228976,-73.8922202
"4024560057","69-21 52 AVENUE","11378",3,3,40.7337229,-73.8951651
"4028380115","60-58 69 PLACE","11378",3,2,40.7205875,-73.8903588
"4029510007","69-06 62 AVENUE","11379",1,2,40.7175341,-73.8891301
"4030400016","65-42 79 STREET","11379",1,2,40.7164022,-73.8746774
"4030500136","66-56 70 STREET","11379",1,1,40.7130949,-73.8853897
"4030530090","66-38 PLEASANTVIEW STREET","11379",2,2,40.7137948,-73.8826289
"4037020021","67-40 MYRTLE AVENUE","11385",1,2,40.701388,-73.884894
"4027460031","60-54 FRESH POND ROAD","11378",2,2,40.7155035,-73.9017807
"4027480039","62-08 FLUSHING AVENUE","11378",2,2,40.7215757,-73.9026953
"4034820021","1932 PUTNAM AVENUE","11385",4,2,40.7042559,-73.9022914
"4035330022","68-02 FRESH POND ROAD","11385",2,3,40.7050057,-73.8965231
"4038620058","88-42 81 AVENUE","11385",2,2,40.7045009,-73.8581053
"4036990048","72-28 66 PLACE","11385",2,2,40.7005888,-73.8871675
"4029780010","69-62 JUNIPER BOULEVARD S","11379",1,1,40.716562,-73.8858274
"4029890064","63-37 78 STREET","11379",2,1,40.7196543,-73.8768141
"4029930053","63-67 DRY HARBOR ROAD","11379",1,2,40.7204602,-73.8732808
"4034290016","17-32 STANHOPE STREET","11385",2,2,40.7062391,-73.9145263
"4034540036","662 ONDERDONK AVENUE","11385",4,2,40.7041343,-73.9079504
"4027640038","62-11 62 AVENUE","11379",1,1,40.7143128,-73.89916
"4037270016","80-32 57 STREET","11385",1,2,40.6926876,-73.8970543
"4028170026","57-42 79 STREET","11379",3,3,40.7277741,-73.8828894
"4036620055","71-19 CENTRAL AVENUE","11385",2,2,40.7050176,-73.8805056
"4028460079","60-53 76 STREET","11379",1,2,40.7233533,-73.8838243
"4036940041","72-11 72 STREET","11385",1,2,40.7027947,-73.8782374
"4037320010","59-02 COOPER AVENUE","11385",2,2,40.6943775,-73.896096
"4036950023","72-34 73 STREET","11385",1,2,40.7030734,-73.8770215
"4029710014","62-24 DRY HARBOR ROAD","11379",2,2,40.7246928,-73.8735181
"4037700001","67-17 73 PLACE","11379",3,2,40.7121497,-73.8789778
"4030330001","73-16 PENELOPE AVENUE","11379",2,1.67,40.7159347,-73.8816512
"4030480024","69-32 JUNIPER VALLEY ROAD","11379",1,2,40.7144512,-73.8857697
"4037940128","69-55 75 STREET","11379",3,3,40.7082295,-73.8758506
"4038290072","79-52 78 AVENUE","11385",2,2,40.7049564,-73.8696314
"4038610014","88-18 UNION TURNPIKE","11385",1,2.5,40.7047549,-73.8593166
"4027450080","60-38 61 STREET","11378",1,1,40.7143951,-73.9023847
"4034840006","68-30 FOREST AVENUE","11385",2,3,40.7028059,-73.9013954
"4025030076","70-09 GRAND AVENUE","11378",2,2,40.7277591,-73.8928509
"4027920001","69-28 GRAND AVENUE","11378",2,3,40.7262372,-73.8943471
"4025050020","53-29 70 STREET","11378",2,2,40.7303151,-73.8935107
"4028370017","60-36 69 PLACE","11378",2,2,40.7211561,-73.8908088
"4029230024","61-28 69 PLACE","11379",2,2,40.7192992,-73.8893184
"4038230032","78-01 73 PLACE","11385",2,2,40.7041536,-73.8758437
"4030390013","65-22 78 STREET","11379",2,2,40.7167545,-73.8756218
"4030490007","69-16 66 ROAD","11379",3,3,40.7138754,-73.886355
"4030530086","66-30 PLEASANTVIEW STREET","11379",2,2,40.7140007,-73.8826502
"4030590031","66-21 74 STREET","11379",3,2,40.7148456,-73.8795609
"4030620035","77-23 66 ROAD","11379",1,2.5,40.7147904,-73.8766103
"4023990078","54-37 66 STREET","11378",1,1,40.7282337,-73.8985688
"4026930008","57-31A 59 STREET","11378",1,2,40.7222115,-73.9081816
"4035330023","68-04 FRESH POND ROAD","11385",2,3,40.7049535,-73.8964943
"4035830015","60-57 COOPER AVENUE","11385",2,2,40.6965688,-73.8941524
"4035860041","75-11 61 STREET","11385",2,2,40.6983058,-73.8936087
"4023690043","54-34 64 STREET","11378",1,2.5,40.7276571,-73.9015499
"4027300004","59-79 60 STREET","11378",2,3,40.7166955,-73.905949
"4025560074","48-29 54 ROAD","11378",1,1,40.7301182,-73.9178512
"4027120040","61-53 GRAND AVENUE","11378",2,2,40.7227338,-73.9024771
"4027430013","61-02 60 AVENUE","11378",1,2,40.7166762,-73.902605
"4027570072","62-27 60 ROAD","11378",2,2,40.7166557,-73.9010611
"4026540092","59-11 59 DRIVE","11378",3,3,40.7176138,-73.907957
"4026700059","57-33 57 ROAD","11378",1,2,40.7225254,-73.913019
"4027640037","62-13 62 AVENUE","11379",2,2,40.7143319,-73.8990734
